Image_URL,Page_ID,Region_ID,Region_Text,x1,y1,x2,y2,arc:nexus_segment,ground_truth_segment
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897481653,بوکو٢ فنتيڠ انتوق فمودا فمودي!..... (1) هاتي فرمفوان 1.10 (2) نعمة برچيوم 1.10? (9) چنتيقي بان ن اڤک,332,546,1806,923,0,02878187-5a9a-4330-bb65-421ae73185e1
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897529580,کالم] جم کهبالي مود! SACIAROT2 ميڽق مڠهيتمݢن رمبوة 100 فراتوس تياد لونتور، رمبوة تياد ݢوݢور، لام٢ منجادي کريتيڠ 5.80? H4M مڠهيتمکن رمبوة 100فراتوس تيادلو نتور دان رمبوة تياد کوݢور. 42.50 ماسوق بلنيجا فوسق چوݢ مڠوبتکن فياکية مات دان بواسير. 2رLڠبهچڠرف,4951,3372,6494,4145,1,609d7303-3451-41b9-a425-0567b0bdf581
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897537567,”وهوبيي ستيمڤا دنيا44 فلواڠ کأماسن انتوق فڠمفول٢ ستيمف،کيت اد مڽدياکن بريبو٢ ماچم ستيمڤ دري سرات نکري ددالم دفيا دڠن هرک انتارا 10 29 دان 50 سيڽ فد سبوڠکوس سرت دتمبه 10 سين بلنجا فوسة، منتاله دري فمبهاݢيڽ: 3ITaT..ک,4947,2628,6499,3301,2,858e821b-d065-4c88-b0cf-b3eee295f0ba
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897552275,سيارنرانيو هاري ايندانايسوق,3407,6053,4934,6225,4,5c57794f-56be-408b-9802-4172d18cc722
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897592828,راديو ملايا (476 -62 - 343- 49-266 ميتر) جم 9.47 فاݢي هڠݢ 12 تڠهاري اين لاݢو٢ فيلايهن“ هيوران لاݢو٢ ملايو، لاکو٢ فيليهن اهل رومه دان لاݢو٢ لاتين امريکان. (476_62 - 343 - 49 - 6 3- 297 ميتر) جم 12 هڤݢ 1 لاݢو٢ هيبوران، فرخبران دان هيوران. (343 -49 ميتر) جم .2.01. لاݢو٢ ڤرمنتأن فوليس، 245 بڠساون داوداراء 315 فات٢فرخبران? 330فمودا داودارا 4 هيبوران?4.15 وهڠݢ 430 رواڠن ݢانق4٢ (366-49343 ميتر) جم 431 هڠݢ6 فتڠ سيارن ککمفوڠ٢. (360 - 48.90 -432 -4 -455 - 297 ميتر) جم 7.30 مالم لاݢو فمبوکأن٢ 7.33 باکة٢ بارو? 7.45 کبودايأن ملايو? 8 فرخبران، 8.15 فيليهن لاݢو٢ ملايو اوله ايراما سني، 8.45 ماري کيت کتاوا4 9 رنچاڠن لاݢو٢ فرمنتأن2 930 رنچاڠن فاسوقکن کاوالن? 9.57 هڠݢ 10 رڠکاسڽ فرخبران دان تمت. يسوق (476 - 62 ميتر) جم 630 هڠݢ 7.15 فاݢي رمفاين لاݢو٢ ملايو، فرخبران? هيبوران دان ريحة.,4180,6219,4923,8481,4,5c57794f-56be-408b-9802-4172d18cc722
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897606442,ررانيو جاکرتا (54 91 ميتر) جم12 تڠهاري هݢ سيأرن دري مسجد. (1980 - 49 35 - 133.9 ميتر) جم 12 نڠهاري تريو سم سأيمون، 12.30 أورکسة هاواين فتري ملوکو، 1 فرخبران“ 110 لاݢو٢ بارة 1.30 سني چاوا ستود يو سمارڠ، 2 فرخبران“ 2.10 اورکيسة سوارا ڠکاس 2.45 هڠݢ 3 فرخبراڽ دان ريحة. (49.63 - 76.2 ميتر) جم5 فتڠ اورکيسة بينتڠ هاتي. 5.30 لاݢو٢ فيليهن”6 رمفاين نوسنتارائ 6.10 تينجاون چارا سيارن1 6.15 .رواڠن کصيحاتن. (63 49. 76.2 -.133.9 ميتر) جم 630 قوم مودا دان ميوزيق، 7ڤرخبران٢“ 7.10 تينجاون تانهأ ير، 726 ڽا ڽين٢? 7.30 اورکيسةاستبود يه جاکرتاء 8 فرخبران 05ڤشيارن فمر نته? 8.30 ايو کوت! هاري اين“ 8.40 بوڽين٢ 9سند يوارا راديون 1 فرخبران2 10.15 اورکيسة ݢمبوس لورده دان تمت. ايسوق (49.63 - 762 1339 ميتر) جم6 فاݢي فرخبران. 610 اورکيسرةݢومارڠ 30 6 ورکيسة ليم سراما4 7 فرخبران، 7.10 بوڽمن٢’ 7.30 سني جاوا ستود يو چاکرتا، 8 هڠݢ 8.15 فرخبرأن دان تمت.,3402,6203,4159,8486,4,5c57794f-56be-408b-9802-4172d18cc722
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897625108,تمبڠ کريتافي - بس دکورڠکن سلها,2041,519,4722,740,5,a80d5162-6137-4c21-bfa5-21b698aebe64
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897644480,چتفال دمدرسه الارشاديه ايفوه 21 جون - مدرسة لارشادية الزينيه کمفوڠ جلاي، اتو کوراو تله مڠادکن مجلس حتفال فد هاري سبت يڠ لالو هلامن مدرسه ايت دڠن مندافة سمبوتن مرياه دري فندودق٢ مقيم ايت دان جوݢ دري لوار. مجلس ايت تله دبوك اوله ستاذ ابو بکر الباقير. براف اورڠ يڠ ترکموک دانتاراڽ توان حاج طاهر، مفتي فيرق، توان حاج حسين حاج يعقوب دان لاين٢ تله براوچف دمجلس ايت.,1840,773,2597,2424,6,7ab617e6-c9ca-430b-be69-b3b15eaccfff
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897659518,"سمفيکن5 تنتوتن کوالا لمفور 21 جون - کساتوان کبڠسأن فکرج٢ کيلڠ ان عام فرسکتوان تله مڠموکاکن تنتوتن نايک ݢاجي دان فر بايککن کادأن کرج اڠݢوتاڽ٢ دشريکة بان لي را بر فيکتري، کلڠ رود"" دسيني کفد ڠريکة ترسبوة. توان ديبيد، ستيأو سها کساتوان ترسبوة، ممنتا ماجيکن کيلڠ ݢته ايت سمالم سفاي هڽلسيکن تنتوتن٢ کساتوانڽ ايت دڠن سݢرا.",1838,2435,2597,3855,7,2b806132-4b90-4a4e-b43a-c2f74b80c8b3
https://jawi.sgp1.digitaloceanspaces.com/page_scans/UM-1956-06-22-7.jpg,UM-1956-06-22-7,r_1779897670648,"برجالن فيستا کبودايأڽ انتوق ممو ڽهککن اوبڠ کتڠ ميقسيکنڽ کوالا لمفور 21 جون - تمبڠ٢ کريتافي دان فڠڠکوتن٢. جالن راي سفرت بس٢ اکن دکورڠکن انتوق ممودهکن اورڠرا ي دري سلوره فرسکتوان مڠونجوڠي ""فيستا،، کبودايأن يڠ اکن دلنسوڠکن مولاءي 12 جولي اين سلما تيݢ هاري دليک رݢاردن.",2602,746,4153,1740,5,a80d5162-6137-4c21-bfa5-21b698aebe64
